prefix,URI,note
sh,http://www.w3.org/ns/shacl#,SHACL
rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#,RDF
rdfs,http://www.w3.org/2000/01/rdf-schema#,RDF Schema
xsd,http://www.w3.org/2001/XMLSchema#,XSD: use for data types
asn,http://purl.org/ASN/schema/core/,[ASN] Achievement Standards Network Description Language
ceterms,https://purl.org/ctdl/terms/,[CTDL] Credential Transparency Description Language
ceasn,https://purl.org/ctdlasn/terms/,[CTDL-ASN] Credential Transparency Description Language Achievement Standards Network
dct,http://purl.org/dc/terms/,[DCMI] Metadata Terms
ifla,http://iflastandards.info/ns/fr/frbr/frbrer/,[IFLA] International Federation of Library Associations
lmt,https://purl.ieee.org/sa/lmt/,[IEEE] Learning Metadata Terms
lrmi,http://purl.org/dcx/lrmi-terms/,[DCMI] Learning Resource Metadata Innovation
scd,https://opensource.ieee.org/scd/,[IEEE] Sharable Competency  Definitions
sdo,https://schema.org/,Schema.org
skos,http://www.w3.org/2004/02/skos/core#,[W3C] Simple Knowledge Organization System
